CLK,UTIL,TNS_End_Percent,GP_PAD,DP_PAD,DPO,PIN_ADJ,UP_ADJ,LB_ADDON,HIER_SYNTH,CTS_CSIZE,CTS_CDIA
100.0,88,0,1,0,1,0.2558360545751728,0.43790270025018907,0.8846057514330314,1,21,117
100.0,57,42,1,0,1,0.7,0.7,0.8965649606897734,1,20,113
10000.0,56,0,0,0,1,0.1,0.1,0.36628829238315674,1,19,80
9862.367095644751,74,65,0,3,1,0.13205209823193342,0.6318390515575849,0.4279705958439932,1,29,98
5603.803412137594,31,34,0,1,0,0.18760482865590522,0.10021468673669917,0.43004314230552554,1,23,102
10000.0,63,0,1,3,1,0.3385539082637277,0.5774381198559286,0.07895303925954462,1,18,104
10000.0,82,0,1,1,0,0.1,0.1,0.9393909886627909,0,19,80
10000.0,99,100,0,3,1,0.1,0.1,0.0,1,10,80
7607.513020910722,57,99,3,1,1,0.6987306876212818,0.5563565128335071,0.560282402540477,0,10,91
100.0,99,0,3,3,0,0.1,0.1,0.99,1,40,80
10000.0,20,100,3,0,0,0.1,0.1,0.0,0,40,120
