circuit,pdk,DESIGN,CLK,UTIL,TECH,LB_ADDON,HIER_SYNTH,GP_PAD,DP_PAD,DPO,CTS_CSIZE,CTS_CDIA,PIN_ADJ,UP_ADJ,TNS_End_Percent,cts__timing__setup__ws,cts__timing__setup__tns,cts__timing__drv__setup_violation_count,cts__route__wirelength__estimated,detailedroute__route__wirelength,detailedroute__route__drc_errors,detailedroute__route__vias,finish__timing__setup__ws,finish__timing__setup__tns,finish__timing__drv__setup_violation_count,finish__timing__drv__hold_violation_count,finish__power__total,finish__design__instance__utilization,finish__design__instance__count__class:timing_repair_buffer,ECP_cts,ECP_final,Fractional_Loss_cts,Fractional_Loss_final
aes,asap7,aes,2471.439,44.818,asap7,0.384,1,0,0,1,21,83,0.607,0.355,9,1585.65,0,0,59235.2,71166,0,166362,1568.35,0,0,0,0.0235606,0.522429,387,885.7889999999998,903.0889999999999,3.0198694427851325,2.906607671545997
aes,asap7,aes,762.585,51.907,asap7,0.928,1,1,0,1,16,106,0.655,0.166,90,207.083,0,0,56941.4,68746,0,169916,182.546,0,0,0,0.0763774,0.602751,387,555.5020000000001,580.039,2.2177763103860455,2.172245739432439
aes,asap7,aes,972.388,57.637,asap7,0.905,1,1,0,1,21,84,0.678,0.103,34,395.881,0,0,56658.2,68392,0,171677,376.311,0,0,0,0.0595787,0.666546,387,576.5070000000001,596.077,2.2617641985890855,2.2024183615799675
aes,asap7,aes,531.09,47.359,asap7,0.411,1,0,0,1,28,80,0.662,0.359,98,5.78376,0,0,58092,69910,0,166379,-14.2102,-227.004,43,0,0.109218,0.550591,399,525.30624,545.3002,2.1667092171142714,2.112156498443294
aes,asap7,aes,8468.266,63.337,asap7,0.898,1,1,0,1,14,111,0.615,0.182,77,6388.71,0,0,56719.4,68575,0,170641,6363.68,0,0,0,0.00684125,0.73526,387,2079.5559999999996,2104.5859999999993,5.742045878665107,5.484211586018808
aes,asap7,aes,5212.647,62.42,asap7,0.948,0,1,0,0,29,84,0.663,0.267,60,3829.93,0,0,60227.3,72523,0,175285,3809.94,0,0,0,0.0112016,0.724581,387,1382.717,1402.7069999999999,4.186402257746635,4.010722040270329
aes,asap7,aes,4271.775,55.98,asap7,0.798,1,1,0,1,27,85,0.546,0.437,89,3024.16,0,0,57196.6,69479,0,168455,2998.79,0,0,0,0.0135608,0.648778,387,1247.6149999999998,1272.9849999999997,3.8240662906546374,3.6883666757152715
aes,asap7,aes,4203.723,54.982,asap7,0.878,0,1,0,1,20,89,0.667,0.215,63,3020.98,0,0,57282.5,69467,0,170805,3003.84,0,0,0,0.0137711,0.6383,387,1182.743,1199.8829999999998,3.6753054469426543,3.529290213385711
aes,asap7,aes,731.057,40.298,asap7,0.355,0,1,0,1,28,87,0.43,0.516,52,212.989,0,0,63537,77430,0,164091,171.563,0,0,0,0.080524,0.471754,388,518.068,559.494,2.2390658594989272,2.2426970945331437
aes,asap7,aes,5716.233,56.69,asap7,0.649,0,1,0,1,1,100,0.444,0.5,37,4238.96,0,0,57669.2,70356,0,166011,4212.88,0,0,0,0.010136,0.659023,387,1477.2730000000001,1503.353,4.36341651251742,4.200792116474571
aes,asap7,aes,8434.975,46.291,asap7,0.886,1,1,0,1,30,111,0.589,0.35,43,6364.76,0,0,58450.2,70242,0,168464,6345.22,0,0,0,0.00688912,0.538977,387,2070.215,2089.755,5.7487491349230595,5.47406789825679
aes,asap7,aes,7572.303,53.198,asap7,0.348,1,1,0,1,38,88,0.553,0.395,3,5644.2,0,0,59214.4,72158,0,164683,5618.02,0,0,0,0.00770121,0.61998,387,1928.103,1954.2829999999994,5.432292922856124,5.204961890789671
aes,asap7,aes,136.05,42.082,asap7,0.559,0,0,0,1,31,86,0.53,0.319,68,-285.568,-52507.3,400,63483.7,78964,0,185912,-328.98,-57201.3,420,25,0.459074,0.533551,2366,421.618,465.03000000000003,2.0149296730141755,2.0576751521837107
aes,asap7,aes,9241.265,47.522,asap7,0.664,1,2,1,0,13,1,0.548,0.103,34,6967.26,0,0,67075.2,80270,0,168755,6940.72,0,0,0,0.00642788,0.55531,387,2274.004999999999,2300.544999999999,6.361640344801823,6.065237382094364
aes,asap7,aes,327.617,45.763,asap7,0.454,1,0,0,1,35,99,0.634,0.604,21,-95.4933,-12204.9,160,61477.6,80603,0,181490,-150.428,-19051.1,160,56,0.182238,0.546233,976,423.11030000000005,478.045,1.9855526226246092,2.1076950813048896
aes,asap7,aes,544.179,39.855,asap7,0.456,0,0,0,1,18,81,0.549,0.355,91,33.4386,0,0,60019,72515,0,165169,-3.36087,-3.36087,1,0,0.106928,0.46514,387,510.74039999999997,547.53987,2.16452890797324,2.1515570146593173
aes,asap7,aes,748.259,44.968,asap7,0.436,1,0,0,1,21,111,0.65,0.371,8,212.457,0,0,58770.9,70795,0,168051,191.943,0,0,0,0.077488,0.523026,387,535.802,556.316,2.202115705281489,2.147835377857083
aes,asap7,aes,570.771,58.96,asap7,0.908,1,1,0,1,28,114,0.675,0.113,22,16.8642,0,0,56952.7,68671,0,172174,-5.30415,-11.9264,3,0,0.101552,0.684523,387,553.9068,576.07515,2.214268651430099,2.162634480307468
aes,asap7,aes,2898.642,53.161,asap7,0.78,1,1,0,1,36,92,0.48,0.454,82,1920.59,0,0,56957.8,69153,0,167275,1898.06,0,0,0,0.0200347,0.618571,387,978.0519999999999,1000.5819999999999,3.1961697096463104,3.091864811414383
aes,asap7,aes,117.282,46.076,asap7,0.503,0,0,0,1,31,86,0.492,0.321,33,-295.722,-58708.7,431,65043.3,78132,0,185695,-343.135,-65637.3,549,39,0.530996,0.581367,2327,413.00399999999996,460.417,2.0205139732182635,2.0366179668993944
aes,asap7,aes,9531.552,55.128,asap7,0.914,1,1,0,1,22,81,0.682,0.186,76,7231.9,0,0,56910.9,68688,0,171380,7213.93,0,0,0,0.00608653,0.639646,387,2299.652,2317.6219999999994,6.254661412484445,5.948831243969996
aes,asap7,aes,9167.66,61.355,asap7,0.933,1,1,0,1,14,119,0.552,0.164,81,6941.53,0,0,57044.2,69283,0,170630,6917.16,0,0,0,0.00634265,0.712506,387,2226.13,2250.5,6.086653159949715,5.810801124332449
