circuit,pdk,DESIGN,CLK,UTIL,TECH,LB_ADDON,HIER_SYNTH,GP_PAD,DP_PAD,DPO,CTS_CSIZE,CTS_CDIA,PIN_ADJ,UP_ADJ,TNS_End_Percent,cts__timing__setup__ws,cts__timing__setup__tns,cts__timing__drv__setup_violation_count,cts__route__wirelength__estimated,detailedroute__route__wirelength,detailedroute__route__drc_errors,detailedroute__route__vias,finish__timing__setup__ws,finish__timing__setup__tns,finish__timing__drv__setup_violation_count,finish__timing__drv__hold_violation_count,finish__power__total,finish__design__instance__utilization,finish__design__instance__count__class:timing_repair_buffer,ECP_cts,ECP_final,Fractional_Loss_cts,Fractional_Loss_final
aes,sky130hd,aes,10.326,41.546,sky130hd,0.157,0,2,1,0,32,116,0.319,0.498,82,4.68905,0,0,431219,586815,0,118593,4.36418,0,0,0,0.175523,0.538819,504,5.636950000000001,5.96182,2.06097796394171,2.257994249048303
aes,sky130hd,aes,4.234,20.689,sky130hd,0.266,0,1,0,0,16,1,0.169,0.416,5,-0.320671,-4.68474,52,460416,615810,0,115828,-0.405282,-11.6046,92,0,0.43908,0.290357,687,4.554671,4.639282,1.9263755976681638,2.0269541689864923
aes,sky130hd,aes,10.179,41.102,sky130hd,0.161,0,2,1,0,32,114,0.337,0.492,13,4.63831,0,0,431299,587575,0,118725,4.2867,0,0,0,0.178666,0.535831,509,5.540690000000001,5.8923000000000005,2.04313826342048,2.2445539532696785
aes,sky130hd,aes,10.304,32.319,sky130hd,0.265,0,1,2,0,19,1,0.14,0.657,78,4.34808,0,0,526135,729256,0,130729,0.92726,0,0,0,0.192087,0.432567,516,5.95592,9.37674,2.342002920977377,3.222991303259298
aes,sky130hd,aes,10.424,32.339,sky130hd,0.252,0,1,2,0,19,94,0.128,0.695,94,4.69808,0,0,518951,747938,0,133978,2.77677,0,0,0,0.191432,0.431327,510,5.7259199999999995,7.6472299999999995,2.28218255961907,2.888243494641114
aes,sky130hd,aes,9.583,20.072,sky130hd,0.267,0,1,2,0,27,116,0.17,0.524,78,3.77858,0,0,482446,636376,0,116800,3.64363,0,0,0,0.195742,0.277474,523,5.80442,5.93937,2.2117730291811677,2.3372645111807797
aes,sky130hd,aes,10.328,32.549,sky130hd,0.253,0,1,2,0,32,119,0.139,0.635,34,4.20562,0,0,517112,706762,0,129074,3.7299,0,0,0,0.190743,0.433951,519,6.12238,6.598099999999999,2.352138452504411,2.5961596525326742
aes,sky130hd,aes,10.829,25.841,sky130hd,0.266,0,1,2,0,19,1,0.179,0.421,78,5.31914,0,0,464462,622361,0,118581,5.03754,0,0,0,0.17222,0.348106,511,5.509860000000001,5.791460000000001,2.1146830247058146,2.2821663616470556
aes,sky130hd,aes,8.061,24.362,sky130hd,0.25,0,1,2,0,16,94,0.168,0.476,78,2.74741,0,0,464719,618789,0,117810,2.45043,0,0,0,0.22838,0.330274,511,5.31359,5.61057,2.0785275279798636,2.237786175535404
aes,sky130hd,aes,3.264,37.803,sky130hd,0.204,1,0,0,1,23,89,0.239,0.532,26,-0.527352,-58.262,236,439812,628306,0,128194,-1.41895,-102.899,264,3,0.321202,0.538274,1879,3.791352,4.68295,1.7353945867612328,2.057391808885428
aes,sky130hd,aes,2.936,33.674,sky130hd,0.003,1,0,2,1,10,87,0.198,0.108,69,-0.985742,-169.457,296,479754,682579,0,126176,-1.18298,-210.496,338,0,0.369072,0.500726,2335,3.921742,4.11898,1.852935318761768,2.029922067698908
aes,sky130hd,aes,10.327,40.102,sky130hd,0.158,0,2,1,0,32,119,0.35,0.491,78,4.39133,0,0,431998,608397,0,119971,3.9935,0,0,0,0.178589,0.525288,506,5.93567,6.3335,2.1187342452847684,2.373330525895716
aes,sky130hd,aes,9.975,32.303,sky130hd,0.18,0,1,1,0,32,116,0.235,0.5,34,4.24997,0,0,428345,575677,0,116580,4.15992,0,0,0,0.180778,0.427523,506,5.725029999999999,5.81508,2.0707717332567985,2.2080216988377046
aes,sky130hd,aes,5.282,22.281,sky130hd,0.065,1,0,0,1,20,117,0.271,0.46,37,0.358594,0,0,424116,564842,0,105089,0.355971,0,0,0,0.165885,0.28029,429,4.923406,4.926029,1.9107951398880543,2.001293580660236
aes,sky130hd,aes,5.393,21.604,sky130hd,0.058,1,0,0,1,20,80,0.253,0.413,100,0.50228,0,0,433987,577236,0,105291,0.370322,0,0,0,0.166891,0.272984,428,4.89072,5.022678,1.9276879963191242,2.0427830760452506
aes,sky130hd,aes,9.706,24.529,sky130hd,0.664,0,3,2,0,18,98,0.189,0.598,34,3.75168,0,0,483218,643387,0,120937,3.29158,0,0,0,0.195697,0.332886,516,5.954319999999999,6.41442,2.241644076454665,2.449797274148394
aes,sky130hd,aes,1.448,28.892,sky130hd,0.717,1,2,0,1,18,105,0.462,0.205,33,-2.22091,-695.216,518,441532,649219,0,128060,-4.01162,-799.529,518,0,0.773965,0.440265,2513,3.66891,5.459619999999999,1.7164754824836188,2.2573968171038956
aes,sky130hd,aes,5.174,22.414,sky130hd,0.059,1,0,0,1,20,118,0.254,0.422,7,0.0855285,0,0,427129,568790,0,105830,0.209741,0,0,0,0.172301,0.282628,433,5.088471500000001,4.964259,1.9487309676963542,2.0160866677185205
aes,sky130hd,aes,10.356,40.396,sky130hd,0.158,0,2,1,0,32,116,0.334,0.368,41,4.48067,0,0,432359,601775,0,119126,4.33656,0,0,0,0.177419,0.530012,510,5.87533,6.0194399999999995,2.108276276457998,2.295565331429101
aes,sky130hd,aes,10.077,41.118,sky130hd,0.153,0,1,1,0,32,119,0.132,0.498,34,4.28771,0,0,413646,562290,0,121359,4.02594,0,0,0,0.176603,0.528336,495,5.78929,6.05106,2.048535327626551,2.2353208990098326
aes,sky130hd,aes,10.118,37.218,sky130hd,0.171,0,2,1,0,32,99,0.319,0.488,78,4.73884,0,0,436178,591492,0,117044,4.32704,0,0,0,0.1812,0.491364,510,5.379160000000001,5.79096,2.0242643874325044,2.229724567111618
aes,sky130hd,aes,10.38,40.746,sky130hd,0.158,0,2,1,0,32,109,0.32,0.511,23,4.58189,0,0,424287,578738,0,118504,4.50636,0,0,0,0.173961,0.532191,505,5.798110000000001,5.873640000000001,2.0749960665407787,2.225618153402295
aes,sky130hd,aes,9.344,33.884,sky130hd,0.295,1,1,2,1,19,94,0.121,0.681,92,4.473,0,0,426226,580368,0,116166,4.36232,0,0,0,0.0915429,0.40521,420,4.8709999999999996,4.981679999999999,1.9059006603634496,2.039407108687078
