circuit,pdk,DESIGN,CLK,UTIL,TECH,LB_ADDON,HIER_SYNTH,GP_PAD,DP_PAD,DPO,CTS_CSIZE,CTS_CDIA,PIN_ADJ,UP_ADJ,TNS_End_Percent,cts__timing__setup__ws,cts__timing__setup__tns,cts__timing__drv__setup_violation_count,cts__route__wirelength__estimated,detailedroute__route__wirelength,detailedroute__route__drc_errors,detailedroute__route__vias,finish__timing__setup__ws,finish__timing__setup__tns,finish__timing__drv__setup_violation_count,finish__timing__drv__hold_violation_count,finish__power__total,finish__design__instance__utilization,finish__design__instance__count__class:timing_repair_buffer,ECP_cts,ECP_final,Fractional_Loss_cts,Fractional_Loss_final
ibex,asap7,ibex,4448.154,20.548,asap7,0.246,0,0,0,1,1,105,0.189,0.474,16,1285.14,0,0,103981,128955,0,224278,1280.75,0,0,0,0.0161925,0.248567,280,3163.014,3167.4040000000005,3.5362215824935923,3.445838010817966
ibex,asap7,ibex,892.283,23.955,asap7,0.568,0,2,0,1,1,106,0.194,0.396,43,-333.385,-289365,1365,98656.3,121871,0,229884,-438.735,-421833,1473,57,0.0877331,0.293142,722,1225.6680000000001,1331.018,1.997818445688774,2.035098597007952
ibex,asap7,ibex,4052.925,49.956,asap7,0.64,1,1,0,1,1,114,0.46,0.445,100,1096.59,0,0,74809.9,88136,0,215544,1095,0,0,0,0.00364316,0.580965,272,2956.335,2957.925,3.064559235618683,2.9378521601116514
ibex,asap7,ibex,9366.881,20.129,asap7,0.231,0,3,3,1,15,98,0.344,0.505,1,2761.31,0,0,121896,150648,0,218053,2755.56,0,0,0,0.00781976,0.246045,283,6605.571,6611.321,6.360769946890494,6.1644377634292695
ibex,asap7,ibex,3267.968,20.017,asap7,0.37,0,0,0,1,1,102,0.194,0.395,43,930.944,0,0,96486.3,119465,0,227474,927.241,0,0,0,0.021672,0.240743,278,2337.024,2340.727,2.8241469172270013,2.756116161885742
ibex,asap7,ibex,8694.997,30.59,asap7,0.114,0,1,3,1,19,98,0.441,0.573,92,2560.33,0,0,110094,136451,0,216458,2559.22,0,0,0,0.00826546,0.369888,281,6134.6669999999995,6135.777,5.87385519484747,5.6918829914759055
ibex,asap7,ibex,6005.625,53.597,asap7,0.73,1,1,0,0,34,118,0.283,0.295,87,1677.78,0,0,76014.5,89352,0,225530,1679.6,0,0,0,0.00248426,0.623619,273,4327.845,4326.025,4.126066273318639,3.9536166854102137
ibex,asap7,ibex,1203.031,50.016,asap7,0.572,0,1,1,1,36,90,0.461,0.247,40,-48.8456,-856.048,64,124779,151557,0,269591,-186.824,-30453.2,685,0,0.0618945,0.597819,453,1251.8766,1389.855,2.2987297482033373,2.335830285561671
ibex,asap7,ibex,2586.83,54.976,asap7,0.879,1,1,0,0,14,100,0.303,0.32,97,656.774,0,0,77373.8,90818,0,228614,651.107,0,0,0,0.00576237,0.638798,272,1930.056,1935.723,2.30750959823113,2.2100493821703786
ibex,asap7,ibex,3195.551,36.785,asap7,0.58,0,0,0,1,18,105,0.304,0.476,44,904.642,0,0,83876.1,105044,0,227743,900.847,0,0,0,0.0214966,0.43417,274,2290.9089999999997,2294.7039999999997,2.6533045422157597,2.597210590742165
