circuit,pdk,DESIGN,CLK,UTIL,TECH,LB_ADDON,HIER_SYNTH,GP_PAD,DP_PAD,DPO,CTS_CSIZE,CTS_CDIA,PIN_ADJ,UP_ADJ,TNS_End_Percent,cts__timing__setup__ws,cts__timing__setup__tns,cts__timing__drv__setup_violation_count,cts__route__wirelength__estimated,detailedroute__route__wirelength,detailedroute__route__drc_errors,detailedroute__route__vias,finish__timing__setup__ws,finish__timing__setup__tns,finish__timing__drv__setup_violation_count,finish__timing__drv__hold_violation_count,finish__power__total,finish__design__instance__utilization,finish__design__instance__count__class:timing_repair_buffer,ECP_cts,ECP_final,Fractional_Loss_cts,Fractional_Loss_final
ibex,sky130hd,ibex,13.502,33.433,sky130hd,0.047,1,3,0,0,1,113,0.436,0.177,42,0.000738076,-0.00127454,0,645681,846597,0,136069,-0.168827,-23.6715,397,0,0.116445,0.434219,607,13.501261924000001,13.670827000000001,2.4174174080013553,2.231867382687617
ibex,sky130hd,ibex,13.31,25.927,sky130hd,0.071,1,0,0,0,12,1,0.376,0.167,65,0.012462,-0.00359268,0,672349,880693,0,135891,-0.0646159,-3.21486,170,0,0.122529,0.349656,642,13.297538000000001,13.3746159,2.4470262123825957,2.2483751165194263
ibex,sky130hd,ibex,13.499,26.598,sky130hd,0.063,0,0,0,0,1,89,0.378,0.186,84,0.131396,0,0,613435,827718,0,134217,0.117096,0,0,0,0.0705405,0.372241,519,13.367604,13.381904,2.346560725086829,2.183477854141132
ibex,sky130hd,ibex,13.579,32.193,sky130hd,0.07,0,0,0,0,1,81,0.369,0.211,100,0.0313136,0,0,562890,765060,0,134207,0.133916,0,0,0,0.0658186,0.435573,478,13.5476864,13.445084000000001,2.2714341199161563,2.1114462702352075
ibex,sky130hd,ibex,14.242,31.755,sky130hd,0.16,0,0,0,0,1,89,0.329,0.212,89,0.146021,0,0,525454,722892,0,135806,0.12077,0,0,0,0.0613924,0.423969,436,14.095979000000002,14.12123,2.25406813164646,2.1178769661819565
ibex,sky130hd,ibex,10.248,49.551,sky130hd,0.255,1,2,0,0,11,111,0.356,0.2,77,-1.19734,-920.328,1217,614450,919884,0,161274,-2.68812,-2698.73,1685,0,0.163268,0.662575,1284,11.44534,12.936119999999999,2.1710723267505596,2.258855538651239
ibex,sky130hd,ibex,14.864,36.645,sky130hd,0.25,0,0,0,0,34,86,0.273,0.263,37,0.197556,0,0,493704,685378,0,139024,-0.0519576,-0.0519576,1,0,0.0582343,0.484508,402,14.666444,14.9159576,2.2490676799708487,2.1403402512092833
ibex,sky130hd,ibex,14.218,31.376,sky130hd,0.164,0,0,0,0,1,89,0.33,0.215,67,0.00336442,0,0,527381,728289,0,136226,0.0905178,0,0,0,0.0616847,0.418549,436,14.21463558,14.1274822,2.268511823150389,2.125094711758362
ibex,sky130hd,ibex,13.915,33.928,sky130hd,0.16,0,0,0,0,1,113,0.439,0.208,1,-0.0140004,-0.0140004,1,522283,722061,0,134709,0.149023,0,0,0,0.0633717,0.453145,447,13.9290004,13.765977,2.2329088243543227,2.086064550235748
ibex,sky130hd,ibex,14.966,30.749,sky130hd,0.128,0,0,0,1,16,91,0.474,0.259,86,0.336647,0,0,529792,744811,0,132125,0.502397,0,0,0,0.0590769,0.411967,431,14.629353,14.463602999999999,2.31114586215626,2.174658618108065
ibex,sky130hd,ibex,14.142,35.582,sky130hd,0.107,0,0,0,0,15,91,0.474,0.265,7,0.0470468,0,0,537950,756236,0,136085,0.052065,0,0,11,0.0628552,0.475905,458,14.094953199999999,14.089934999999999,2.2766537895261725,2.156410828409898
ibex,sky130hd,ibex,13.506,26.256,sky130hd,0.075,0,0,0,0,12,1,0.426,0.199,100,0.0186402,0,0,604819,820432,0,133718,0.183602,0,0,0,0.0700708,0.367422,515,13.4873598,13.322398,2.341970234412611,2.1693087465094094
ibex,sky130hd,ibex,14.062,31.271,sky130hd,0.158,0,0,0,0,16,94,0.437,0.225,86,0.091835,0,0,536436,742456,0,134633,0.119066,0,0,0,0.0631075,0.419807,457,13.970165,13.942934,2.262394047036148,2.1266269083385274
ibex,sky130hd,ibex,8.782,22.247,sky130hd,0.009,0,1,3,0,16,101,0.426,0.633,10,-2.5713,-2047.65,1306,819789,1071865,0,144940,-2.37444,-1576.87,1348,0,0.12707,0.345545,1717,11.3533,11.15644,2.5352726399921055,2.2926340456394607
ibex,sky130hd,ibex,4.189,44.221,sky130hd,0.536,0,2,0,1,27,101,0.203,0.613,43,-5.77728,-7927.67,2061,595772,854111,0,164733,-7.42087,-9555.45,2080,6,0.244266,0.642924,1928,9.966280000000001,11.60987,2.0007270342481798,2.0625695607513213
ibex,sky130hd,ibex,13.449,33.271,sky130hd,0.054,1,3,0,0,12,102,0.436,0.171,89,0.0209832,-0.00176215,0,654639,847793,0,136851,0.0104317,0,0,0,0.118819,0.437634,610,13.4280168,13.4385683,2.4269192827807773,2.21322040239441
ibex,sky130hd,ibex,14.13,35.626,sky130hd,0.154,0,0,0,0,1,89,0.328,0.213,84,0.0882556,0,0,516008,710982,0,136632,0.0495408,0,0,0,0.0613971,0.473623,416,14.0417444,14.0804592,2.2319204128180856,2.099611581528229
ibex,sky130hd,ibex,14.0,42.11,sky130hd,0.156,0,0,0,0,1,89,0.323,0.213,86,0.149346,0,0,495678,685212,0,137668,0.030103,0,0,0,0.0605883,0.551991,409,13.850654,13.969897,2.17739311761802,2.0581539252939614
ibex,sky130hd,ibex,14.827,45.393,sky130hd,0.106,0,0,0,0,34,91,0.29,0.266,37,0.0193818,0,0,493550,686529,0,137939,-0.111466,-0.131645,2,0,0.057208,0.593882,396,14.8076182,14.938466,2.261811619553005,2.1437144787380955
ibex,sky130hd,ibex,11.875,21.904,sky130hd,0.006,1,1,3,0,35,103,0.395,0.626,29,-0.483183,-69.0616,456,904248,1122785,0,143285,-0.509647,-94.4099,653,0,0.15615,0.315926,1258,12.358183,12.384647,2.7812674391032535,2.4620512890245863
ibex,sky130hd,ibex,13.979,34.76,sky130hd,0.15,0,0,0,0,39,81,0.319,0.208,88,0.0400791,0,0,518236,710454,0,135656,0.0476357,0,0,0,0.0616651,0.462078,439,13.9389209,13.931364299999998,2.226478678801909,2.086038622746222
ibex,sky130hd,ibex,14.081,35.896,sky130hd,0.236,0,0,0,0,16,91,0.293,0.218,45,0.0971312,0,0,493519,682869,0,138111,-0.0198748,-0.0281597,2,0,0.0610848,0.472808,418,13.9838688,14.1008748,2.185763712365333,2.0666055861017525
ibex,sky130hd,ibex,13.547,33.561,sky130hd,0.07,1,3,0,0,39,113,0.439,0.193,36,-0.0983498,-5.19075,127,636055,827311,0,136408,-0.138782,-2.64766,45,0,0.116154,0.438506,564,13.6453498,13.685782000000001,2.4132384198342542,2.209306987155392
ibex,sky130hd,ibex,13.633,26.046,sky130hd,0.072,1,3,0,0,12,94,0.437,0.186,65,-0.0602336,-0.401894,13,699454,910712,0,136345,0.230019,0,0,0,0.121488,0.350104,649,13.6932336,13.402980999999999,2.5327251775321296,2.287965885611997
ibex,sky130hd,ibex,13.527,33.81,sky130hd,0.078,0,3,0,0,1,81,0.368,0.157,89,-0.0433413,-0.0433413,1,573116,761239,0,134594,0.0816129,0,0,0,0.065137,0.452543,465,13.570341299999999,13.4453871,2.2920842853378063,2.106746049389434
ibex,sky130hd,ibex,13.096,28.961,sky130hd,0.238,0,0,0,0,22,80,0.306,0.238,87,-0.394,-0.642275,4,525584,722020,0,138337,-0.154468,-0.211714,2,0,0.0664315,0.388997,489,13.49,13.250468,2.1984019603837153,2.0413423437441445
