Description:,Code Piece:
Template of reading .lib (liberty) files,"from openroad import Tech
from pathlib import Path

# Initialize OpenROAD objects and read technology files
tech = Tech()
# Set paths to library and design files
libDir = Path(""../Design/nangate45/lib"")

# Read all liberty file from the library directories
libFiles = libDir.glob(""*.lib"")

# Load liberty timing libraries
for libFile in libFiles:
  tech.readLiberty(libFile.as_posix())"
Template of reading .lef files,"from openroad import Tech
from pathlib import Path

# Initialize OpenROAD objects and read technology files
tech = Tech()
# Set paths to library and design files
lefDir = Path(""../Design/nangate45/lef"") 
techlefDir = Path(""../Design/nangate45/lef"")

# Read all LEF files from the library directories
techLefFiles = lefDir.glob(""*.tech.lef"")
lefFiles = lefDir.glob('*.lef')

# Load technology and cell LEF files  
for techLefFile in techLefFiles:
  tech.readLef(techLefFile.as_posix())
for lefFile in lefFiles:
  tech.readLef(lefFile.as_posix())"
Template of reading technology files,"from openroad import Tech
from pathlib import Path

# Initialize OpenROAD objects and read technology files
tech = Tech()
# Set paths to library and design files
techlefDir = Path(""../Design/nangate45/lef"")

# Read all tech led files from the library directories
techLefFiles = lefDir.glob(""*.tech.lef"")

# Load technology and cell LEF files  
for techLefFile in techLefFiles:
  tech.readLef(techLefFile.as_posix())"
Template of reading verilog files (reading netlist file),"from openroad import Tech, Design
from pathlib import Path

# Initialize OpenROAD objects and read technology files
tech = Tech()
# Set paths to library and design files
libDir = Path(""../Design/nangate45/lib"")
lefDir = Path(""../Design/nangate45/lef"") 
techlefDir = Path(""../Design/nangate45/lef"")
designDir = Path(""../Design/"")

design_name = ""1_synth""
design_top_module_name = ""gcd""

# Read all liberty (.lib) and LEF files from the library directories
libFiles = libDir.glob(""*.lib"")
techLefFiles = lefDir.glob(""*.tech.lef"")
lefFiles = lefDir.glob('*.lef')

# Load liberty timing libraries
for libFile in libFiles:
  tech.readLiberty(libFile.as_posix())
# Load technology and cell LEF files  
for techLefFile in techLefFiles:
  tech.readLef(techLefFile.as_posix())
for lefFile in lefFiles:
  tech.readLef(lefFile.as_posix())

# Create design and read Verilog netlist
design = Design(tech)
verilogFile = designDir/str(design_name + "".v"")
design.readVerilog(verilogFile.as_posix())
design.link(design_top_module_name)"
Template of reading OpenROAD design file in .odb format,"from openroad import Tech, Design

# Initialize OpenROAD objects and read technology files
tech = Tech()
# Set paths to library and design files
libDir = Path(""../Design/nangate45/lib"")
lefDir = Path(""../Design/nangate45/lef"") 
techlefDir = Path(""../Design/nangate45/lef"")
designDir = Path(""../Design/"")

design_name = ""1_synth""
design_top_module_name = ""gcd""

# Read all liberty (.lib) and LEF files from the library directories
libFiles = libDir.glob(""*.lib"")
techLefFiles = lefDir.glob(""*.tech.lef"")
lefFiles = lefDir.glob('*.lef')

# Load liberty timing libraries
for libFile in libFiles:
  tech.readLiberty(libFile.as_posix())
# Load technology and cell LEF files  
for techLefFile in techLefFiles:
  tech.readLef(techLefFile.as_posix())
for lefFile in lefFiles:
  tech.readLef(lefFile.as_posix())

# Create design and read ode file
design = Design(tech)
odbFile = designDir/str(design_name + "".odb"")
design.readDb(odbFile.as_posix())"
Template of reading DEF (.def) files,"from openroad import Tech, Design

# Initialize OpenROAD objects and read technology files
tech = Tech()
# Set paths to library and design files
libDir = Path(""../Design/nangate45/lib"")
lefDir = Path(""../Design/nangate45/lef"") 
techlefDir = Path(""../Design/nangate45/lef"")
designDir = Path(""../Design/"")

design_name = ""1_synth""
design_top_module_name = ""gcd""

# Read all liberty (.lib) and LEF files from the library directories
libFiles = libDir.glob(""*.lib"")
techLefFiles = lefDir.glob(""*.tech.lef"")
lefFiles = lefDir.glob('*.lef')

# Load liberty timing libraries
for libFile in libFiles:
  tech.readLiberty(libFile.as_posix())
# Load technology and cell LEF files  
for techLefFile in techLefFiles:
  tech.readLef(techLefFile.as_posix())
for lefFile in lefFiles:
  tech.readLef(lefFile.as_posix())

# Create design and read def file
design = Design(tech)
defFile = designDir/str(design_name + "".def"")
design.readDef(defFile.as_posix())"
Template of creating and propagate the clock signal,"clock_period = 200
port_name = ""port_name""
clock_name = ""clock_name""
# Create clock signal
design.evalTclString(""create_clock -period %s [get_ports %s] -name %s""%(clock_period, port_name, clock_name))
# Propagate the clock signal
design.evalTclString(""set_propagated_clock [all_clocks]"")"
Template of running floorplanning with utilization rate (hight/width),"# Initialize floorplan with core and die area
floorplan = design.getFloorplan()
# Set die area to 60um x 50um
# Initialize floorplan with FreePDK45 site
site = floorplan.findSite(""FreePDK45_38x28_10R_NP_162NW_34O"")
utilization = 0.5
aspect_ratio = 1.0
leftSpace = design.micronToDBU(10)
rightSpace = design.micronToDBU(10)
topSpace = design.micronToDBU(10)
bottomSpace = design.micronToDBU(10)
floorplan.initFloorplan(utilization, aspect_ratio, bottomSpace, topSpace, leftSpace, rightSpace, site)
floorplan.makeTracks()"
Template of running floorplanning with specific die and core area,"import odb
# Initialize floorplan with core and die area
floorplan = design.getFloorplan()
# Set die area to 60um x 50um
die_area = odb.Rect(design.micronToDBU(0), design.micronToDBU(0),  
    design.micronToDBU(60), design.micronToDBU(50))
# Set core area to 50um x 40um with 5um margins
core_area = odb.Rect(design.micronToDBU(5), design.micronToDBU(5),  
    design.micronToDBU(55), design.micronToDBU(45))
# Initialize floorplan with FreePDK45 site
site = floorplan.findSite(""FreePDK45_38x28_10R_NP_162NW_34O"") 
floorplan.initFloorplan(die_area, core_area, site)
floorplan.makeTracks()"
Template of placing I/O pins (ports),"# Configure and run I/O pin placement
params = design.getIOPlacer().getParameters()
params.setRandSeed(42)
params.setMinDistanceInTracks(False)
params.setMinDistance(design.micronToDBU(0))
params.setCornerAvoidance(design.micronToDBU(0))
# Place I/O pins on metal8 (horizontal) and metal9 (vertical) layers
design.getIOPlacer().addHorLayer(design.getTech().getDB().getTech().findLayer(""metal8""))
design.getIOPlacer().addVerLayer(design.getTech().getDB().getTech().findLayer(""metal9""))
IOPlacer_random_mode = True
design.getIOPlacer().runAnnealing(IOPlacer_random_mode)"
