FlowStage,ErrorMessage,LikelyCause,RecommendedFix,ExampleWrongCode
FILE,"[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) r",未知错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) r",未知错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) r",未知错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) r",未知错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Design' object has no attribute 'exportDef'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
TypeError: Design.writeDb() got an unexpected keyword argument 'overwrite'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Design' object has no attribute 'executeTclCommand'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) r",未知错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) r",未知错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) r",未知错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) referenced
[WARNING ODB-0176] error: undefined layer (metal3) r",未知错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Design' object has no attribute 'saveDef'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Design' object has no attribute 'saveDb'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
